Designator,Mid X,Mid Y,Rotation,Layer
H1305,94.0,-6.0,0.0,top
H1306,6.0,-6.0,0.0,top
H1307,6.0,-154.0,0.0,top
H1308,94.0,-154.0,0.0,top
LOGO_OPEN_HARDWARE101,14.19,-146.71,0.0,bottom
R312,7.71,-35.8,90.0,top
R314,30.46,-97.23,270.0,top
R315,32.93,-97.23,270.0,top
R316,35.4,-97.23,270.0,top
R317,37.87,-97.23,270.0,top
R318,9.35,-94.13,180.0,top
SW201,4.13,-88.0425,90.0,top
TH1301,12.0,-6.0,0.0,top
TH1302,88.24,-154.0,0.0,top
U201,74.0,-133.0,270.0,top
U202,49.9975,-46.0875,0.0,top
U203,27.93,-111.3,180.0,top
U205,12.0675,-30.35,270.0,top
UART3,57.44,-31.1115,90.0,top
UART4,27.76,-31.1315,90.0,top
